"Top Sliders","Top Sliders"
"Slider","Liukusäädin"
"Top Banners","yläbannerit"
"Banner","lippu"
"Special Products","Special Products"
"New Arrivals","Uutuudet"
"Best Sellers","Myydyimmät"
"Login Successful.","Kirjautuminen onnistui."
"This is a required field.","Tämä on pakollinen kenttä."
"Registration Successful.","Rekisteröinti onnistui."
"Cannot create user account.","Voi luoda käyttäjätili."
"Email Id is required.","Email id vaaditaan."
"Starting at","Alkaen"
"Something went wrong","Jotain meni pieleen"
"Please select a category.","Valitse luokka."
"Product not found.","Tuotetta ei löydy."
"Product Id is required.","Tuotteen tunnus on pakollinen."
"Links","Linkit"
"N/A","N / A"
"No","Ei"
"was added to your shopping cart.","lisättiin ostoskoriisi."
"Cannot add the item to shopping cart.","Ei voi lisätä kohteen ostoskoriin."
"Item has been updated in your cart successfully.","Kohta on päivitetty ostoskorissa onnistuneesti."
"Quantity has not been set for this product.","Määrä ei ole asetettu tälle tuotteelle."
"Cannot update shopping cart.","Voi päivittää ostoskorin."
"Something went wrong.","Jotain meni pieleen."
"Quantity","Määrä"
"Item has been removed from your cart successfully.","Tuote on poistettu koristasi onnistuneesti."
"Cannot remove the item.","Ei voi poistaa kohteen."
"Prefix","Etuliite"
"First Name","Etunimi"
"Middle Name/Initial","Toinen nimi / Initial"
"Last Name","Sukunimi"
"Suffix","jälkiliite"
"Company","Yhtiö"
"Address","Osoite"
"Address 2","Osoite 2"
"City","Kaupunki"
"Country","Maa"
"State/Province","Valtio / kunta"
"Zip/Postal Code","Zip / Postal Code"
"Telephone","Puhelin"
"Fax","Faksi"
"Please select a country.","Valitse maa."
"Customer is not looged in","Asiakas ei looged vuonna"
"Address not selected.","Osoitetta ei ole valittu."
"The customer address is not valid.","Asiakas osoite ei kelpaa."
"Cart information loaded successfully","Cart tietoa ladattu onnistuneesti"
"No Shipping Method Required","Ei toimitustapa Pakollinen"
"No Shipping Method Available","Ei Toimitus Käytettävät"
"Shipping method was set successfully.","Toimitustapa oli asetettu onnistuneesti."
"An error occurred while selecting shipping method.","Tapahtui virhe valitsemalla toimitus menetelmä."
"Please login to view your addresses.","Kirjaudu katsella osoitteisiin."
"Address has been updated successfully.","Osoite on päivitetty onnistuneesti."
"Address has been added successfully.","Osoite on lisätty onnistuneesti."
"Please login to add/update your addresses.","Ole hyvä ja kirjaudu lisätä / päivittää osoitteita."
"An error occurred while saving billing address.","Tapahtui virhe säästää laskutusosoite."
"An error occurred while saving shipping address.","Tapahtui virhe tallennettaessa toimitusosoite."
"No Payment methods is enabled","Ei maksutavat on käytössä"
"No Payment methods has been configured","Ei maksutavat on määritetty"
"Order created successfully","Jotta luotu"
"Your information has been updated successfully.","Tietosi on päivitetty onnistuneesti."
"Invalid email address.","Virheellinen sähköpostiosoite."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Jos on tili liittyy sähköpostiosoitteesi saat sähköpostin, jossa on linkki uuden salasanan."
"Please enter your email.","Ole hyvä ja syötä sähköpostiosoitteesi."
"Please login to view your orders.","Kirjaudu tarkastella tilauksia."
"Orders not found.","Tilauksia ei löytynyt."
"Please login to view your order details.","Kirjaudu nähdäksesi tilaustiedot."
"Please select an order.","Valitse tilaus."
"Subtotal","Välisumma"
"Shipping & Handling","toimitus & käsittely"
"Discount","Alennus"
"Tax","Verottaa"
"Grand Total","Loppusumma"
"Order created by this cart","Jotta luonut tälle korille"
"Voucher has been applied to your cart successfully.","Tosite on sovellettu ostoskorissa onnistuneesti."
"Coupon code is not valid.","Kuponkikoodi ei kelpaa."
"Voucher has been removed from your cart successfully.","Tosite on poistettu koristasi onnistuneesti."
"Please login to add this product to wishlist.","Ole hyvä ja kirjaudu lisätä tuotteen toivelistalle."
"Please select a product","Valitse tuote"
"Cannot specify product.","Voi määritellä tuotteen."
"%1$s has been added to your wishlist.","% 1 $ s on lisätty listaasi."
"An error occurred while adding item to wishlist: %s","Virhe tapahtui lisättäessä tuote toivelistalle:% s"
"Requested wishlist doesn't exist","Pyydetty toivelista ei ole olemassa"
"SKU","SKU"
"Wishlist could not be created.","Toivelista ei voitu luoda."
"An error occurred while deleting the item from wishlist.","Tapahtui virhe poistetaan tuote toivelistasta."
"Wishlist item has been successfully removed.","Toivelista tuote on onnistuneesti poistettu."
"An error occurred while deleting the item from wishlist: %s","Tapahtui virhe poistetaan tuote toivelistasta:% s"
"Item has been successfully added to the cart.","Tuote on onnistuneesti lisätty ostoskoriin."
"Incl. Tax","Sis. Verottaa"
"Unable to post the review.","Pysty viemään tarkastelua."
"Recent Products","Viimeaikaiset Tuotteet"
"From","alkaen"
"To","jotta"
"Mobile number and country code is Mandatory.","Matkapuhelinnumero ja maatunnus on pakollinen."
