"Top Sliders","Top Sliders"
"Slider","Slider"
"Top Banners","Top Reklám"
"Banner","Transzparens"
"Special Products","speciális termékek"
"New Arrivals","Új érkezők"
"Best Sellers","Legtöbbet eladott"
"Login Successful.","Sikeres belépés."
"This is a required field.","Ez kötelezően kitöltendő mező."
"Registration Successful.","Sikeres regisztráció."
"Cannot create user account.","Nem lehet létrehozni a felhasználói fiókot."
"Email Id is required.","E-mail azonosító szükséges."
"Starting at","Kezdve"
"Something went wrong","Valami elromlott"
"Please select a category.","Kérjük, válasszon egy kategóriát."
"Product not found.","A termék nem található."
"Product Id is required.","Termék azonosító szükséges."
"Links","linkek"
"N/A","N / A"
"No","Nem"
"was added to your shopping cart.","adunk a kosárban."
"Cannot add the item to shopping cart.","Nem lehet hozzáadni a tétel a kosárba."
"Item has been updated in your cart successfully.","Elem frissült a kosárban sikeresen."
"Quantity has not been set for this product.","Mennyiség nincs beállítva erre a termékre."
"Cannot update shopping cart.","Nem lehet frissíteni a kosárban."
"Something went wrong.","Valami elromlott."
"Quantity","Mennyiség"
"Item has been removed from your cart successfully.","Pont el lett távolítva a kosarába sikeresen."
"Cannot remove the item.","Nem lehet eltávolítani az elemet."
"Prefix","előtagja"
"First Name","Keresztnév"
"Middle Name/Initial","Középső név / kezdőbetű"
"Last Name","Vezetéknév"
"Suffix","képző"
"Company","Vállalat"
"Address","Cím"
"Address 2","cím 2"
"City","Város"
"Country","Ország"
"State/Province","Állam / tartomány"
"Zip/Postal Code","Zip / Postal Code"
"Telephone","telefon"
"Fax","Fax"
"Please select a country.","Kérjük, válasszon ki egy országot."
"Customer is not looged in","Az ügyfél nem looged a"
"Address not selected.","Cím nincs kiválasztva."
"The customer address is not valid.","Az ügyfél címe nem érvényes."
"Cart information loaded successfully","Kosár információ betöltése sikeres"
"No Shipping Method Required","Nem Szállítás módja Kötelező"
"No Shipping Method Available","Nem Szállítási mód Elérhető"
"Shipping method was set successfully.","Szállítás módszert beállítása sikeres."
"An error occurred while selecting shipping method.","Hiba történt a kiválasztás szállítási módot."
"Please login to view your addresses.","Kérjük, jelentkezzen be, hogy megtekinthesse a címeket."
"Address has been updated successfully.","Cím frissítése sikerült."
"Address has been added successfully.","Cím lett sikeresen hozzáadva."
"Please login to add/update your addresses.","Kérjük, jelentkezzen be a hozzáadni / frissíteni a címeket."
"An error occurred while saving billing address.","Hiba történt a mentés közben a számlázási címet."
"An error occurred while saving shipping address.","Hiba történt a mentés közben a szállítási címet."
"No Payment methods is enabled","Nem Fizetési mód engedélyezve"
"No Payment methods has been configured","Nem Fizetési mód lett beállítva"
"Order created successfully","Rendelés sikeresen létrehozva"
"Your information has been updated successfully.","Az adatok frissítése sikerült."
"Invalid email address.","Érvénytelen e-mail cím."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Ha van egy fiókot társított e-mailt fog kapni egy e-mailt, amelyben egy link a jelszó visszaállításához."
"Please enter your email.","Kérem, írja be az e-mail címét."
"Please login to view your orders.","Kérjük, jelentkezzen be, hogy megtekinthesse a megrendelések."
"Orders not found.","Megrendelések nem található."
"Please login to view your order details.","Kérjük, jelentkezzen be, hogy megtekinthesse a megrendelés részleteit."
"Please select an order.","Kérjük, válasszon egy rendelést."
"Subtotal","Részösszeg"
"Shipping & Handling","szállítás és kezelés"
"Discount","Kedvezmény"
"Tax","Adó"
"Grand Total","Teljes összeg"
"Order created by this cart","Rendezés készítette ezt helyezése"
"Voucher has been applied to your cart successfully.","Utalvány került sor a kosarába sikeresen."
"Coupon code is not valid.","A kupon kód nem érvényes."
"Voucher has been removed from your cart successfully.","Utalvány lett távolítva a kosárban sikeresen."
"Please login to add this product to wishlist.","Kérjük, jelentkezzen be, hogy adjunk a termékről kívánságlista."
"Please select a product","Kérjük, válasszon egy terméket"
"Cannot specify product.","Nem lehet megadni a termék."
"%1$s has been added to your wishlist.","% 1 $ s került a kívánságlista."
"An error occurred while adding item to wishlist: %s","Hiba történt hozzátéve tételt kívánságlista:% s"
"Requested wishlist doesn't exist","A kért kívánságlista nem létezik"
"SKU","SKU"
"Wishlist could not be created.","Kívánságlista nem hozható létre."
"An error occurred while deleting the item from wishlist.","Hiba történt törlése elemet kívánságlista."
"Wishlist item has been successfully removed.","Kívánságlista elemet sikeresen eltávolították."
"An error occurred while deleting the item from wishlist: %s","Hiba történt törlése elemet a kívánságlista:% s"
"Item has been successfully added to the cart.","Elem sikeresen bekerült a kosárba."
"Incl. Tax","Tartalmazza. Adó"
"Unable to post the review.","Nem sikerült elküldeni a felülvizsgálat."
"Recent Products","Legújabb termékek"
"From","Tól től"
"To","Nak nek"
"Mobile number and country code is Mandatory.","Mobil száma és országkód kötelező."
"Country Code is Mandatory.","Ország kód megadása kötelező."
"This mobile number has already been registered with an other account.","Ez a mobil szám már regisztrálva van egy másik fiókot."
"Shipping Method is disabled.","Szállítás módja van tiltva."
"Mobile Number is blank","Mobil szám üres"
"Mobile Number already exist","Mobil száma már léteznek"
"Empty Mobile number.","Ürítse Mobile számot."
"Empty Country Code.","Ürítse országkód."
"Empty Password.","Üres jelszó."
"The password has been changed successfully.","A jelszó megváltoztatása sikeresen."
"Password cannot be updated.","A jelszó nem lehet frissíteni."
"An account using this email address does not exists.","Egy fiók használatával az e-mail cím nem létezik."
"The account has been mapped for the fingerprint login in this device.","A fiók már feltérképezték az ujjlenyomat belépés a készülék."
"The account can not be mapped for the fingerprint login in this device.","A fiókot nem lehet térképezni az ujjlenyomat belépés a készülék."
"Customer data is not available.","Ügyfél adatok nem állnak rendelkezésre."
"Your account isn\'t available at this time.","Fiókja Hát \ 't elérhető ebben az időben."
"This Unique Id is not linked with the Email id.","Ez az egyedi azonosító nem kapcsolódik az e-mail id."
"This Mobile number is not linked with any account.","Ez a mobil szám nem kapcsolódnak egyetlen számla."
"Mobile Number or country code is not available.","Mobil szám vagy országkód nem elérhető."
"Mobile number exists into the database..","Mobile szám létezik az adatbázisba .."
"Mobile number does not exists into the database..","Mobile szám nem létezik az adatbázisba .."
"Not Mentioned","Nem említett"
"Marektplace Module is not enabled","Marektplace modul nincs engedélyezve"
"Seller id is missing","Az eladó azonosítója hiányzik"
"Seller not found","Az eladó nem talált"
"Please login to write review.","Kérjük, jelentkezzen be, hogy írjon beszámolót."
"Not able to submit your review. Title or comment is missing.","Nem tudja küldeni a felülvizsgálatot. Cím vagy megjegyzés hiányzik."
"Not able to submit your review. Posting review for this seller is not allowed.","Nem tudja küldeni a felülvizsgálatot. Kiküldetés beszámolót eladónak nem engedélyezett."
"Thanks! for rating the Seller.","Köszönöm! A ranglista az eladó."
"All","Összes"
"Name","Név"
"A-Z","A-Z"
"Z-A","Z-A"
"Price","Ár"
"Low to High","Növekvő sorrendben"
"High to Low","Magas-Alacsony"
"Ascending","növekvő"
"Descending","Csökkenő"
"All Products","Minden termék"
"Customer already registered.","Vevő már regisztrált."
"An error occurred .","Hiba lépett fel ."
"Success.","Siker."
"Last order was not completed.","Az utolsó megbízás nem fejeződött be."
"Can't apply voucher code on this cart.","Nem lehet alkalmazni a voucher kódot a kosárból."
"An error occurred while adding item to wishlist: %1","Hiba történt hozzátéve tételt kívánságlista:% 1"
"Your review has been accepted for moderation.","Beszámolót elfogadták a moderálás."
"Review by %1","Review by% 1"
"(Posted on %1)","(Közzététel% 1)"
"--Select Category--","--Válassz kategóriát--"
"Order Successfully Created","Rendelés sikeresen létrehozva"
"Hi Thanks for your interest. Keep shopping with us to become our premium customer.","Hi Köszönjük érdeklődését. Tartsa nálunk vásárolt, hogy legyen a prémium ügyfél."
"Order status update","Order status update"
"Hi Your order status has been changed to {{STATUS}}.","Hi A rendelés állapota változott {{}} ÁLLAPOT."
"Hurry!","Siet!"
"Hi","Fejezze be annak érdekében, hogy plusz előnyökkel a következő vásárlásnál."
"Best Seller Products","Best Seller Termékek"
"Featured Products","Kiemelt Termék"
"New Products","új termékek"
"From a category","Egy kategória"
"Custom Products","Egyedi termékek"
"Mobile App Builder","Mobile App Builder"
"Settings saved successfully.","Beállítások sikeresen elmentve."
"Firebase Server key is not available","Firebase Server kulcs nem elérhető"
"Notificaton Send successfully","Notificaton küldése sikeres"
"Data saved successfully.","Az adatok mentése sikeres."
"Component deleted successfully.","Component sikeresen törölve."
"Banner data deleted successfully.","Banner adatok törlése sikeresen megtörtént."
"Layout deleted successfully.","Layout sikeresen törölve."
"Data has been saved successfully.","Az adatok sikeresen elmentve."
"Settings saved successfully","A beállítások sikeresen mentve"
"Edit Layout","Elrendezés szerkesztése"
"Knowband Mobile App Builder is not enabled on this store.","Knowband Mobile App Builder nincs engedélyezve az üzletben."
"Requested API not available","A kért API nem elérhető"
"Requested Api method not available","Kért Api módszer nem áll rendelkezésre"
"Save Settings","Beállítások mentése"
"Edit","szerkesztése"
"Edit Name","Név szerkesztése"
"Delete","Töröl"
"View Details","Részletek megtekintése"
"Layout ID","Layout ID"
"Layout Name","Layout neve"
"Action","Akció"
"Home Page Layout Settings","Főoldal Layout Settings"
"Title","Cím"
"URL","URL"
"Upload","Feltöltés"
"Image Type","image Type"
"Home","itthon"
"Category","Kategória"
"Product","Termék"
"Redirect Activity","átirányítás Activity"
"Disable","letiltása"
"Enable","Engedélyezze"
"Status","Állapot"
"Banners Settings","Reklám beállítások"
"ID","ID"
"Device Type","Eszköztípus"
"Both Android/iOS","Mindkét Android / iOS"
