"Top Sliders","Top Sliders"
"Slider","Schieberegler"
"Top Banners","Top Banner"
"Banner","Banner"
"Special Products","Spezielle Produkte"
"New Arrivals","Neu eingetroffen"
"Best Sellers","Bestseller"
"Login Successful.","Anmeldung erfolgreich."
"This is a required field.","Dies ist ein Pflichtfeld."
"Registration Successful.","Registrierung erfolgreich."
"Cannot create user account.","Kann nicht Benutzerkonto erstellen."
"Email Id is required.","E-Mail-ID erforderlich."
"Starting at","Beginnt um"
"Something went wrong","Etwas ist schief gelaufen"
"Please select a category.","Bitte wählen sie eine Kategorie."
"Product not found.","Produkt nicht gefunden."
"Product Id is required.","Produkt-ID erforderlich."
"Links","Links"
"N/A","N / A"
"No","Nein"
"was added to your shopping cart.","wurde in den Warenkorb gelegt."
"Cannot add the item to shopping cart.","Das Element kann nicht in den Warenkorb legen."
"Item has been updated in your cart successfully.","Ihr Artikel wurde in Ihren Warenkorb erfolgreich aktualisiert."
"Quantity has not been set for this product.","Menge ist für dieses Produkt nicht festgelegt wurde."
"Cannot update shopping cart.","Kann nicht aktualisiert wird der Warenkorb."
"Something went wrong.","Etwas ist schief gelaufen."
"Quantity","Menge"
"Item has been removed from your cart successfully.","Artikel wurde aus Ihrem Warenkorb erfolgreich entfernt."
"Cannot remove the item.","Das Element kann nicht entfernt werden."
"Prefix","Präfix"
"First Name","Vorname"
"Middle Name/Initial","Mittelname / Anfang"
"Last Name","Familienname, Nachname"
"Suffix","Suffix"
"Company","Unternehmen"
"Address","Adresse"
"Address 2","Adresse 2"
"City","Stadt"
"Country","Land"
"State/Province","Staat / Provinz"
"Zip/Postal Code","PLZ / Postleitzahl"
"Telephone","Telefon"
"Fax","Fax"
"Please select a country.","Bitte wähle ein Land."
"Customer is not looged in","Der Kunde ist nicht looged in"
"Address not selected.","Adresse nicht ausgewählt."
"The customer address is not valid.","Die Kundenadresse ist nicht gültig."
"Cart information loaded successfully","Warenkorb Informationen erfolgreich geladen"
"No Shipping Method Required","Nein Versandverfahren notwendig"
"No Shipping Method Available","Nein Versandmethode verfügbar"
"Shipping method was set successfully.","Versandverfahren wurde erfolgreich gesetzt."
"An error occurred while selecting shipping method.","Fehler beim Auswahlverfahren Versand."
"Please login to view your addresses.","Bitte melden Sie Ihre Adressen anzuzeigen."
"Address has been updated successfully.","Adresse wurde erfolgreich aktualisiert."
"Address has been added successfully.","Adresse wurde erfolgreich hinzugefügt."
"Please login to add/update your addresses.","Bitte anmelden, um Ihre Adressen hinzufügen / aktualisieren."
"An error occurred while saving billing address.","Fehler bei Rechnungsadresse zu speichern."
"An error occurred while saving shipping address.","Fehler bei Versandadresse zu speichern."
"No Payment methods is enabled","Keine Zahlungsmethoden aktiviert"
"No Payment methods has been configured","Keine Zahlungsmethoden konfiguriert wurde"
"Order created successfully","Geschaffen, um erfolgreich"
"Your information has been updated successfully.","Ihre Informationen wurden erfolgreich aktualisiert."
"Invalid email address.","Ungültige E-Mail-Adresse."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Wenn ein Konto mit Ihrer E-Mail zugeordnet ist, erhalten Sie eine Email mit einem Link zum Zurücksetzen Ihres Passwortes."
"Please enter your email.","Bitte geben Sie ihre E-Mail-Adresse ein."
"Please login to view your orders.","Bitte melden Sie Ihre Aufträge anzuzeigen."
"Orders not found.","Aufträge nicht gefunden."
"Please login to view your order details.","Bitte melden Sie Ihre Bestellung Details anzuzeigen."
"Please select an order.","Bitte wählen Sie einen Auftrag."
"Subtotal","Zwischensumme"
"Shipping & Handling","Versand & Bearbeitung"
"Discount","Rabatt"
"Tax","MwSt"
"Grand Total","Gesamtsumme"
"Order created by this cart","Bestellen Sie erstellt von diesem Wagen"
"Voucher has been applied to your cart successfully.","Gutschein wurde erfolgreich in Ihren Warenkorb angewendet."
"Coupon code is not valid.","Gutscheincode ist ungültig."
"Voucher has been removed from your cart successfully.","Gutschein wurde aus Ihrem Warenkorb erfolgreich entfernt."
"Please login to add this product to wishlist.","Bitte melden Sie dieses Produkt zu Wunschliste hinzuzufügen."
"Please select a product","Bitte wählen Sie ein Produkt"
"Cannot specify product.","Kann nicht Produkt angeben."
"%1$s has been added to your wishlist.","% 1 $ s wurde zu Ihrer Wunschliste hinzugefügt."
"An error occurred while adding item to wishlist: %s","Ein Fehler ist aufgetreten, während dem Wunschzettel hinzufügen:% s"
"Requested wishlist doesn't exist","Angeforderte Wunschliste existiert nicht"
"SKU","SKU"
"Wishlist could not be created.","Wunschliste konnte nicht erstellt werden."
"An error occurred while deleting the item from wishlist.","Ein Fehler ist aufgetreten, während das Element aus der Wunschliste löschen."
"Wishlist item has been successfully removed.","Wunschzettel Artikel wurde erfolgreich entfernt."
"An error occurred while deleting the item from wishlist: %s","Ein Fehler ist aufgetreten, während das Element aus der Wunschliste löschen:% s"
"Item has been successfully added to the cart.","Artikel wurde in den Warenkorb gelegt."
"Incl. Tax","Incl. MwSt"
"Unable to post the review.","Kann nicht den Beitrag schreiben."
"Recent Products","Kürzlich hinzugefügte Produkte"
