"Top Sliders","Top Sliders"
"Slider","Slider"
"Top Banners","Top Banner"
"Banner","bandiera"
"Special Products","Prodotti speciali"
"New Arrivals","Nuovi arrivi"
"Best Sellers","I più venduti"
"Login Successful.","Accesso riuscito."
"This is a required field.","Questo è un campo obbligatorio."
"Registration Successful.","Registrazione effettuata con successo."
"Cannot create user account.","Impossibile creare account utente."
"Email Id is required.","è richiesto Email Id."
"Starting at","A partire da"
"Something went wrong","Qualcosa è andato storto"
"Please select a category.","Si prega di selezionare una categoria."
"Product not found.","Prodotto non trovato."
"Product Id is required.","ID del prodotto è richiesto."
"Links","link"
"N/A","N / A"
"No","No"
"was added to your shopping cart.","è stato aggiunto al tuo carrello."
"Cannot add the item to shopping cart.","Impossibile aggiungere l'elemento al carrello."
"Item has been updated in your cart successfully.","Articolo è stato aggiornato nel carrello con successo."
"Quantity has not been set for this product.","Quantità non è stato impostato per questo prodotto."
"Cannot update shopping cart.","Impossibile aggiornare carrello."
"Something went wrong.","Qualcosa è andato storto."
"Quantity","Quantità"
"Item has been removed from your cart successfully.","Articolo è stato rimosso dal carrello con successo."
"Cannot remove the item.","Non è possibile rimuovere l'elemento."
"Prefix","Prefisso"
"First Name","Nome di battesimo"
"Middle Name/Initial","Secondo nome / iniziale"
"Last Name","Cognome"
"Suffix","Suffisso"
"Company","Azienda"
"Address","Indirizzo"
"Address 2","Indirizzo 2"
"City","Città"
"Country","Nazione"
"State/Province","Stato / Provincia"
"Zip/Postal Code","Zip / Codice postale"
"Telephone","Telefono"
"Fax","Fax"
"Please select a country.","Per favore seleziona un paese."
"Customer is not looged in","Cliente non è in looged"
"Address not selected.","Indirizzo non selezionati."
"The customer address is not valid.","L'indirizzo del cliente non è valido."
"Cart information loaded successfully","informazioni Carrello caricato con successo"
"No Shipping Method Required","No Metodo di trasporto richiesto"
"No Shipping Method Available","Nessun metodo di spedizione disponibile"
"Shipping method was set successfully.","Metodo di spedizione è stata impostata correttamente."
"An error occurred while selecting shipping method.","Si è verificato un errore durante la selezione il metodo di spedizione."
"Please login to view your addresses.","Effettua il login per visualizzare gli indirizzi."
"Address has been updated successfully.","Indirizzo è stato aggiornato con successo."
"Address has been added successfully.","Indirizzo è stato aggiunto."
"Please login to add/update your addresses.","Effettua il login per aggiungere / aggiornare i vostri indirizzi."
"An error occurred while saving billing address.","Si è verificato un errore durante il salvataggio indirizzo di fatturazione."
"An error occurred while saving shipping address.","Si è verificato un errore durante il salvataggio indirizzo di spedizione."
"No Payment methods is enabled","No Metodi di pagamento è abilitato"
"No Payment methods has been configured","No Metodi di pagamento è stato configurato"
"Order created successfully","Ordine creato con successo"
"Your information has been updated successfully.","I tuoi dati è stato aggiornato con successo."
"Invalid email address.","Indirizzo email non valido."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Se esiste un account associato con la tua email riceverete una e-mail con un link per reimpostare la password."
"Please enter your email.","Inserisci la tua email."
"Please login to view your orders.","Si prega di accedere ai tuoi ordini."
"Orders not found.","Gli ordini non trovato."
"Please login to view your order details.","Effettua il login per visualizzare i dettagli dell'ordine."
"Please select an order.","Si prega di selezionare un ordine."
"Subtotal","totale parziale"
"Shipping & Handling","Spedizione & trattare"
"Discount","Sconto"
"Tax","Imposta"
"Grand Total","Somma totale"
"Order created by this cart","Ordinare creato da questo carro"
"Voucher has been applied to your cart successfully.","Buono è stato applicato con successo al tuo carrello."
"Coupon code is not valid.","codice coupon non è valido."
"Voucher has been removed from your cart successfully.","Buono è stato rimosso dal carrello con successo."
"Please login to add this product to wishlist.","Effettua il login per aggiungere questo prodotto alla lista dei desideri."
"Please select a product","Si prega di selezionare un prodotto"
"Cannot specify product.","Impossibile specificare prodotto."
"%1$s has been added to your wishlist.","% 1 $ s è stato aggiunto alla tua lista desideri."
"An error occurred while adding item to wishlist: %s","Si è verificato un errore durante l'aggiunta di un elemento lista dei desideri:% s"
"Requested wishlist doesn't exist","lista dei desideri richiesto non esiste"
"SKU","SKU"
"Wishlist could not be created.","Lista non può essere creata."
"An error occurred while deleting the item from wishlist.","Si è verificato un errore durante l'eliminazione della voce dalla lista desideri."
"Wishlist item has been successfully removed.","lista dei desideri articolo è stato rimosso con successo."
"An error occurred while deleting the item from wishlist: %s","Si è verificato un errore durante l'eliminazione della voce dalla wishlist:% s"
"Item has been successfully added to the cart.","Oggetto aggiunto con successo al carrello."
"Incl. Tax","Incl. Imposta"
"Unable to post the review.","Impossibile pubblicare il commento."
"Recent Products","Prodotti recenti"
"From","A partire dal"
"To","Per"
"Mobile number and country code is Mandatory.","il numero e il paese cellulare il codice è obbligatorio."
"Country Code is Mandatory.","Country Code è obbligatorio."
"This mobile number has already been registered with an other account.","Questo numero di cellulare è già stato registrato con un altro account."
"Shipping Method is disabled.","Metodo di Spedizione è disabilitato."
"Mobile Number is blank","Mobile Number è vuoto"
"Mobile Number already exist","Mobile Number esiste già"
"Empty Mobile number.","Svuotare numero di cellulare."
"Empty Country Code.","Svuotare Country Code."
"Empty Password.","Password vuota."
"The password has been changed successfully.","La password è stata cambiata con successo."
"Password cannot be updated.","La password non può essere aggiornato."
"An account using this email address does not exists.","Un account utilizzando questo indirizzo email non esiste."
"The account has been mapped for the fingerprint login in this device.","Il conto è stato mappato per l'accesso impronta digitale in questo dispositivo."
"The account can not be mapped for the fingerprint login in this device.","L'account non può essere mappato per l'accesso impronta digitale in questo dispositivo."
"Customer data is not available.","I dati dei clienti non è disponibile."
"Your account isn\'t available at this time.","Il tuo account isn \ 't disponibili in questo momento."
"This Unique Id is not linked with the Email id.","Questo ID univoco non è collegata con l'e-mail id."
"This Mobile number is not linked with any account.","Questo numero mobile non è collegata con qualsiasi account."
"Mobile Number or country code is not available.","Mobile Number o il codice Paese non è disponibile."
"Mobile number exists into the database..","Numero di cellulare esiste nel database .."
"Mobile number does not exists into the database..","numero di cellulare non esiste nel database .."
"Not Mentioned","Non menzionato"
"Marektplace Module is not enabled","Marektplace modulo non è abilitato"
"Seller id is missing","Rivenditore ID mancante"
"Seller not found","Il venditore non trovato"
"Please login to write review.","Effettua il login per scrivere un valutazione."
"Not able to submit your review. Title or comment is missing.","Non in grado di inviare la tua recensione. Titolo o un commento è mancante."
"Not able to submit your review. Posting review for this seller is not allowed.","Non in grado di inviare la tua recensione. recensione distacco per questo venditore non è permesso."
"Thanks! for rating the Seller.","Grazie! per la valutazione del venditore."
"All","Tutti"
"Name","Nome"
"A-Z","A-Z"
"Z-A","Z-A"
"Price","Prezzo"
"Low to High","Dal basso all'alto"
"High to Low","Dall'alto al basso"
"Ascending","Ascendente"
"Descending","Discendente"
"All Products","Tutti i prodotti"
"Customer already registered.","Cliente già registrato."
"An error occurred .","Si è verificato un errore ."
"Success.","Successo."
"Last order was not completed.","Ultimo ordine non è stato completato."
"Can't apply voucher code on this cart.","Impossibile applicare codice del voucher su questo carro."
"An error occurred while adding item to wishlist: %1","Si è verificato un errore nell'inserire l'elemento ad lista: 1%"
"Your review has been accepted for moderation.","Il tuo commento è stato accettato per la moderazione."
"Review by %1","Recensione di 1%"
"(Posted on %1)","(Pubblicato il% 1)"
"--Select Category--","--Seleziona categoria--"
"Order Successfully Created","Ordine creato con successo"
"Hi Thanks for your interest. Keep shopping with us to become our premium customer.","Ciao, grazie per il vostro interesse. Mantenere lo shopping con noi per diventare il nostro cliente premium."
"Order status update","aggiornamento di stato ordine"
"Hi Your order status has been changed to {{STATUS}}.","Hi Lo stato ordine è stato cambiato in {{status}}."
"Hurry!","Fretta!"
"Hi","Completa l'ordine per ottenere ulteriori benefici sul vostro prossimo ordine."
"Best Seller Products","Prodotti più venduti"
"Featured Products","prodotti sponsorizzati"
"New Products","Nuovi Prodotti"
"From a category","Da una categoria"
"Custom Products","Prodotti personalizzati"
"Mobile App Builder","Mobile App Builder"
"Settings saved successfully.","Configurazione salvata con successo."
"Firebase Server key is not available","chiave Server Firebase non è disponibile"
"Notificaton Send successfully","Notificaton inviare correttamente"
"Data saved successfully.","Dati salvati con successo."
"Component deleted successfully.","Componente cancellato con successo."
"Banner data deleted successfully.","Dati Banner cancellati con successo."
"Layout deleted successfully.","Disposizione cancellato con successo."
"Data has been saved successfully.","I dati sono stati salvati con successo."
"Settings saved successfully","Impostazioni salvato con successo"
"Edit Layout","Modifica layout"
"Knowband Mobile App Builder is not enabled on this store.","Knowband Mobile App Builder non è abilitato su questo negozio."
"Requested API not available","API richiesta non disponibile"
"Requested Api method not available","metodo API richiesta non disponibili"
"Save Settings","Salva le impostazioni"
"Edit","modificare"
"Edit Name","Modifica nome"
"Delete","Elimina"
"View Details","Visualizza dettagli"
"Layout ID","disposizione ID"
"Layout Name","Nome layout"
"Action","Azione"
"Home Page Layout Settings","Pagina Impostazioni layout"
"Title","Titolo"
"URL","URL"
"Upload","Caricare"
"Image Type","Tipo di immagine"
"Home","Casa"
"Category","Categoria"
"Product","Prodotto"
"Redirect Activity","redirect Activity"
"Disable","disattivare"
"Enable","Abilitare"
"Status","Stato"
"Banners Settings","Impostazioni banners"
"ID","ID"
"Device Type","Tipo di dispositivo"
"Both Android/iOS","Sia Android / iOS"
"Android","androide"
"iOS","iOS"
"Sent Date","Data di invio"
"Push Notification History","Push di notifica Storia"
"Return Statuses","Gli stati return"
"Coupon Code","codice coupon"
"Customer Email","clienti e-mail"
"Device","Dispositivo"
