"Top Sliders","Top Sliders"
"Slider","Ολισθητής"
"Top Banners","Top Banners"
"Banner","Πανό"
"Special Products","Ειδικά Προϊόντα"
"New Arrivals","Νέες αφίξεις"
"Best Sellers","Κορυφαία σε πωλήσεις"
"Login Successful.","Επιτυχής σύνδεση."
"This is a required field.","Αυτό είναι υποχρεωτικό πεδίο."
"Registration Successful.","Επιτυχής Εγγραφή."
"Cannot create user account.","Δεν είναι δυνατή η δημιουργία λογαριασμού χρήστη."
"Email Id is required.","Η ταυτότητα ηλεκτρονικού ταχυδρομείου είναι απαραίτητη."
"Starting at","ξεκινώντας από"
"Something went wrong","Κάτι πήγε στραβά"
"Please select a category.","Παρακαλώ επιλέξτε μια κατηγορία."
"Product not found.","Το προϊόν δε βρέθηκε."
"Product Id is required.","Κωδικός προϊόντος απαιτείται."
"Links","Συνδέσεις"
"N/A","N / A"
"No","Οχι"
"was added to your shopping cart.","προστέθηκε στο καλάθι αγορών σας."
"Cannot add the item to shopping cart.","Δεν είναι δυνατή η προσθήκη του στοιχείου στο καλάθι αγορών."
"Item has been updated in your cart successfully.","Στοιχείο έχει ενημερωθεί το καλάθι σας με επιτυχία."
"Quantity has not been set for this product.","Ποσότητα Δεν έχει οριστεί για αυτό το προϊόν."
"Cannot update shopping cart.","Δεν είναι δυνατή η ενημέρωση καλάθι αγορών."
"Something went wrong.","Κάτι πήγε στραβά."
"Quantity","Ποσότητα"
"Item has been removed from your cart successfully.","Το στοιχείο έχει αφαιρεθεί από το καλάθι σας με επιτυχία."
"Cannot remove the item.","Δεν μπορείτε να καταργήσετε το στοιχείο."
"Prefix","Πρόθεμα"
"First Name","Ονομα"
"Middle Name/Initial","Πατρώνυμο / Αρχική"
"Last Name","Επίθετο"
"Suffix","Κατάληξη"
"Company","Εταιρία"
"Address","Διεύθυνση"
"Address 2","Διεύθυνση 2"
"City","Πόλη"
"Country","Χώρα"
"State/Province","Πολιτεία / Επαρχία"
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"Telephone","Τηλέφωνο"
"Fax","Φαξ"
"Please select a country.","Επιλέξτε μια χώρα."
"Customer is not looged in","Ο πελάτης δεν έχει looged σε"
"Address not selected.","Διεύθυνση δεν έχει επιλεγεί."
"The customer address is not valid.","Η διεύθυνση του πελάτη δεν είναι έγκυρη."
"Cart information loaded successfully","πληροφοριών καλάθι φορτωμένο με επιτυχία"
"No Shipping Method Required","Δεν Shipping Μέθοδος Απαιτείται"
"No Shipping Method Available","Δεν Μέθοδος Αποστολής Διαθέσιμο"
"Shipping method was set successfully.","Ναυτιλία μέθοδος που με επιτυχία."
"An error occurred while selecting shipping method.","Παρουσιάστηκε σφάλμα κατά την επιλογή μεθόδου ναυτιλίας."
"Please login to view your addresses.","Παρακαλούμε συνδεθείτε για να δείτε τις διευθύνσεις σας."
"Address has been updated successfully.","Διεύθυνση έχει ενημερωθεί με επιτυχία."
"Address has been added successfully.","Διεύθυνση έχει προστεθεί με επιτυχία."
"Please login to add/update your addresses.","Παρακαλούμε συνδεθείτε για να προσθέσετε / ενημερώσετε τις διευθύνσεις σας."
"An error occurred while saving billing address.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση της διεύθυνσης χρέωσης."
"An error occurred while saving shipping address.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση διεύθυνση αποστολής."
"No Payment methods is enabled","Δεν Τρόποι πληρωμής ενεργοποιείται"
"No Payment methods has been configured","Δεν Τρόποι πληρωμής έχει διαμορφωθεί"
"Order created successfully","Παραγγελία δημιουργήθηκε με επιτυχία"
"Your information has been updated successfully.","Οι πληροφορίες σας έχει ενημερωθεί με επιτυχία."
"Invalid email address.","Μη έγκυρη διεύθυνση e-mail."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Αν υπάρχει ένας λογαριασμός που σχετίζεται με το email σας, θα λάβετε ένα email με ένα σύνδεσμο για να επαναφέρετε τον κωδικό πρόσβασής σας."
"Please enter your email.","Παρακαλώ εισάγετε το email σας."
"Please login to view your orders.","Παρακαλούμε συνδεθείτε για να δείτε τις παραγγελίες σας."
"Orders not found.","Οι παραγγελίες δεν βρέθηκε."
"Please login to view your order details.","Παρακαλώ συνδεθείτε για να δείτε τις λεπτομέρειες της παραγγελίας σας."
"Please select an order.","Επιλέξτε μια παραγγελία."
"Subtotal","ΜΕΡΙΚΟ ΣΥΝΟΛΟ"
"Shipping & Handling","Ναυτιλία & χειρισμός"
"Discount","Εκπτωση"
"Tax","Φόρος"
"Grand Total","Σύνολο"
"Order created by this cart","Παραγγελία που δημιουργήθηκε από αυτό το καλάθι"
"Voucher has been applied to your cart successfully.","Κουπόνι έχει εφαρμοστεί στο καλάθι σας με επιτυχία."
"Coupon code is not valid.","Ο κωδικός κουπονιού δεν είναι έγκυρος."
"Voucher has been removed from your cart successfully.","Κουπόνι έχει αφαιρεθεί από το καλάθι σας με επιτυχία."
"Please login to add this product to wishlist.","Παρακαλούμε συνδεθείτε για να προσθέσετε το προϊόν στην λίστα επιθυμιών."
"Please select a product","Επιλέξτε ένα προϊόν"
"Cannot specify product.","Δεν μπορείτε να καθορίσετε το προϊόν."
