"Top Sliders","Топ Sliders"
"Slider","ползунок"
"Top Banners","Лучшие баннеры"
"Banner","баннер"
"Special Products","Специальные продукты"
"New Arrivals","Новые поступления"
"Best Sellers","Бестселлеры"
"Login Successful.","Авторизация успешна."
"This is a required field.","Это поле обязательно для заполнения."
"Registration Successful.","Регистрация прошла успешно."
"Cannot create user account.","Невозможно создать учетную запись пользователя."
"Email Id is required.","Id Требуется адрес электронной почты."
"Starting at","Начинается с"
"Something went wrong","Что-то пошло не так"
"Please select a category.","Пожалуйста, выберите категорию."
"Product not found.","Товар не найден."
"Product Id is required.","Идентификатор продукта требуется."
"Links","связи"
"N/A","N / A"
"No","нет"
"was added to your shopping cart.","был добавлен в корзину."
"Cannot add the item to shopping cart.","Невозможно добавить товар в корзину."
"Item has been updated in your cart successfully.","Пункт был обновлен в вашей корзине успешно."
"Quantity has not been set for this product.","Количество не установлено для данного продукта."
"Cannot update shopping cart.","Невозможно обновить корзину."
"Something went wrong.","Что-то пошло не так."
"Quantity","Количество"
"Item has been removed from your cart successfully.","Пункт был успешно удален из корзины."
"Cannot remove the item.","Не удается удалить элемент."
"Prefix","Приставка"
"First Name","Имя"
"Middle Name/Initial","Отчество / инициалы"
"Last Name","Фамилия"
"Suffix","Суффикс"
"Company","Компания"
"Address","Адрес"
"Address 2","Адрес 2"
"City","город"
"Country","Страна"
"State/Province","Штат / провинция"
"Zip/Postal Code","Zip / Почтовый индекс"
"Telephone","телефон"
"Fax","факс"
"Please select a country.","Пожалуйста, выберите страну."
"Customer is not looged in","Клиент не looged в"
"Address not selected.","Адрес не выбран."
"The customer address is not valid.","Адрес клиента не является действительным."
"Cart information loaded successfully","Корзина информация успешно загружена"
"No Shipping Method Required","Нет Доставка Обязательный метод"
"No Shipping Method Available","Нет Способ доставки В наличии"
"Shipping method was set successfully.","Метод Доставки был успешно установлен."
"An error occurred while selecting shipping method.","При выборе способа доставки произошла ошибка."
"Please login to view your addresses.","для просмотра адреса Пожалуйста, войдите на сайт."
"Address has been updated successfully.","Адрес был успешно обновлен."
"Address has been added successfully.","Адрес был успешно добавлен."
"Please login to add/update your addresses.","Пожалуйста, войдите, чтобы добавить / обновить адреса."
"An error occurred while saving billing address.","при сохранении платежного адреса произошла ошибка."
"An error occurred while saving shipping address.","при сохранении адреса доставки произошла ошибка."
"No Payment methods is enabled","Нет Способы оплаты не включен"
"No Payment methods has been configured","Нет Способы оплаты не был настроен"
"Order created successfully","Заказ успешно создан"
"Your information has been updated successfully.","Ваша информация была успешно обновлена."
"Invalid email address.","Неверный адрес электронной почты."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Если есть аккаунт, связанный с вашей электронной почтой вы получите письмо со ссылкой для сброса пароля."
"Please enter your email.","Пожалуйста, введите адрес электронной почты."
"Please login to view your orders.","для просмотра заказов необходимо войти в систему."
"Orders not found.","Заказы не найдено."
"Please login to view your order details.","для просмотра деталей заказа Пожалуйста, войдите на сайт."
"Please select an order.","Пожалуйста, выберите заказ."
"Subtotal","Промежуточный итог"
"Shipping & Handling","Доставка и обработка"
"Discount","скидка"
"Tax","налог"
"Grand Total","Общая сумма"
"Order created by this cart","Заказать созданный этим корзину"
"Voucher has been applied to your cart successfully.","Ваучер был применен к вашей корзине успешно."
"Coupon code is not valid.","Код купона не действителен."
"Voucher has been removed from your cart successfully.","Ваучер был успешно удален из корзины."
